# BEGIN PLOT
XTwosidedTicks=1
DrawOnly=/REF/ATLAS_2014_I1319490_EL/d33-x01-y02 /LHC.yoda/ATLAS_2014_I1319490_EL/d33-x01-y02 /THY/ATLAS_2014_I1319490_EL/d33-x01-y02
Title=electron channel, dressed level
RatioPlotReference=/REF/ATLAS_2014_I1319490_EL/d33-x01-y02
RatioPlot=1
LogY=1
LegendXPos=0.1
XLabel=$S_\text{T}$ [GeV]
MainPlot=1
YLabel=$\text{d}\sigma_{W + \geq 3j} / \text{d}S_\text{T}$
YTwosidedTicks=1
LegendYPos=0.3
Legend=1
RatioPlotYMin=1
LeftMargin=1.5
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_EL/d33-x01-y02
IsRef=1
LineColor=green
Path=/REF/ATLAS_2014_I1319490_EL/d33-x01-y02
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
1.900000e+02	2.000000e+02	9.239000e-02	1.409317e-02	1.409317e-02
2.000000e+02	2.200000e+02	7.878000e-02	1.142911e-02	1.142911e-02
2.200000e+02	2.400000e+02	6.566000e-02	9.265241e-03	9.265241e-03
2.400000e+02	2.600000e+02	5.599000e-02	7.780553e-03	7.780553e-03
2.600000e+02	2.800000e+02	4.564000e-02	6.613963e-03	6.613963e-03
2.800000e+02	3.000000e+02	3.562000e-02	5.141342e-03	5.141342e-03
3.000000e+02	3.200000e+02	2.939000e-02	4.190943e-03	4.190943e-03
3.200000e+02	3.400000e+02	2.445000e-02	3.580447e-03	3.580447e-03
3.400000e+02	3.600000e+02	2.079000e-02	3.023541e-03	3.023541e-03
3.600000e+02	3.800000e+02	1.731000e-02	2.551059e-03	2.551059e-03
3.800000e+02	4.000000e+02	1.435000e-02	2.265171e-03	2.265171e-03
4.000000e+02	4.400000e+02	1.014000e-02	1.706488e-03	1.706488e-03
4.400000e+02	5.000000e+02	6.620000e-03	1.036068e-03	1.036068e-03
5.000000e+02	6.500000e+02	3.135000e-03	4.894068e-04	4.894068e-04
6.500000e+02	1.000000e+03	7.535000e-04	1.055933e-04	1.055933e-04
1.000000e+03	1.400000e+03	7.223000e-05	1.964947e-05	1.964947e-05
1.400000e+03	2.000000e+03	4.809000e-06	3.204625e-06	3.204625e-06
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2014_I1319490_EL/d33-x01-y02
LineColor=red
Path=/LHC.yoda/ATLAS_2014_I1319490_EL/d33-x01-y02
Title=[24]  0.34
# xlow	 xhigh	 val	 errminus	 errplus
9.000000e+01	1.000000e+02	1.479000e-02	3.737834e-03	3.737834e-03
1.000000e+02	1.100000e+02	5.673000e-02	1.232706e-02	1.232706e-02
1.100000e+02	1.200000e+02	9.018000e-02	1.669001e-02	1.669001e-02
1.200000e+02	1.300000e+02	1.097000e-01	1.912198e-02	1.912198e-02
1.300000e+02	1.400000e+02	1.205000e-01	2.055286e-02	2.055286e-02
1.400000e+02	1.500000e+02	1.227000e-01	2.053047e-02	2.053047e-02
1.500000e+02	1.600000e+02	1.211000e-01	1.961148e-02	1.961148e-02
1.600000e+02	1.700000e+02	1.134000e-01	1.748428e-02	1.748428e-02
1.700000e+02	1.800000e+02	1.075000e-01	1.628957e-02	1.628957e-02
1.800000e+02	1.900000e+02	1.011000e-01	1.553802e-02	1.553802e-02
1.900000e+02	2.000000e+02	9.239000e-02	1.409317e-02	1.409317e-02
2.000000e+02	2.200000e+02	7.878000e-02	1.142911e-02	1.142911e-02
2.200000e+02	2.400000e+02	6.582998e-02	9.435220e-03	9.435220e-03
2.400000e+02	2.600000e+02	5.615998e-02	7.950532e-03	7.950532e-03
2.600000e+02	2.800000e+02	4.564000e-02	6.613963e-03	6.613963e-03
2.800000e+02	3.000000e+02	3.562000e-02	5.141342e-03	5.141342e-03
3.000000e+02	3.200000e+02	2.939000e-02	4.190943e-03	4.190943e-03
3.200000e+02	3.400000e+02	2.461998e-02	3.750426e-03	3.750426e-03
3.400000e+02	3.600000e+02	2.112996e-02	3.263928e-03	3.263928e-03
3.600000e+02	3.800000e+02	1.747998e-02	2.721038e-03	2.721038e-03
3.800000e+02	4.000000e+02	1.435000e-02	2.265171e-03	2.265171e-03
4.000000e+02	4.400000e+02	1.014000e-02	1.706488e-03	1.706488e-03
4.400000e+02	5.000000e+02	6.789979e-03	1.134206e-03	1.134206e-03
5.000000e+02	6.500000e+02	3.361639e-03	5.610763e-04	5.610763e-04
6.500000e+02	1.000000e+03	7.826393e-04	1.224169e-04	1.224169e-04
1.000000e+03	1.400000e+03	7.223000e-05	1.964947e-05	1.964947e-05
1.400000e+03	2.000000e+03	4.809000e-06	3.204625e-06	3.204625e-06
# END HISTO1D

