# BEGIN PLOT
DrawOnly=/REF/ATLAS_2013_I1230812_EL/d28-x01-y02 /LHC.yoda/ATLAS_2013_I1230812_EL/d28-x01-y02 /THY/ATLAS_2013_I1230812_EL/d28-x01-y02
Title=Scalar $p_\perp$ sum of jets
RatioPlotReference=/REF/ATLAS_2013_I1230812_EL/d28-x01-y02
RatioPlot=1
LogY=1
CustomLegend=$Z/\gamma^*\to \text{e}^+\text{e}^-$
XLabel=$S_T$ [GeV]
LegendAlign=r
MainPlot=1
YLabel=d$\sigma$/d$S_T$ [pb/GeV]
Legend=1
RatioPlotYMin=1
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_EL/d28-x01-y02
IsRef=1
LineColor=green
Path=/REF/ATLAS_2013_I1230812_EL/d28-x01-y02
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	4.000000e+01	1.988000e+00	1.522432e-01	1.522432e-01
4.000000e+01	5.000000e+01	1.053000e+00	6.818358e-02	6.818358e-02
5.000000e+01	6.000000e+01	6.069000e-01	3.626596e-02	3.626596e-02
6.000000e+01	7.000000e+01	4.533000e-01	2.992741e-02	2.992741e-02
7.000000e+01	8.000000e+01	3.760000e-01	2.591177e-02	2.591177e-02
8.000000e+01	9.000000e+01	2.945000e-01	2.029729e-02	2.029729e-02
9.000000e+01	1.000000e+02	2.270000e-01	1.569267e-02	1.569267e-02
1.000000e+02	1.100000e+02	1.833000e-01	1.298538e-02	1.298538e-02
1.100000e+02	1.200000e+02	1.481000e-01	1.078425e-02	1.078425e-02
1.200000e+02	1.300000e+02	1.200000e-01	8.764702e-03	8.764702e-03
1.300000e+02	1.400000e+02	9.740000e-02	7.087849e-03	7.087849e-03
1.400000e+02	1.500000e+02	8.169000e-02	6.045469e-03	6.045469e-03
1.500000e+02	1.600000e+02	6.719000e-02	5.083788e-03	5.083788e-03
1.600000e+02	1.700000e+02	5.669000e-02	4.381655e-03	4.381655e-03
1.700000e+02	1.800000e+02	4.765000e-02	3.719745e-03	3.719745e-03
1.800000e+02	1.900000e+02	4.016000e-02	3.115253e-03	3.115253e-03
1.900000e+02	2.000000e+02	3.459000e-02	2.634407e-03	2.634407e-03
2.000000e+02	2.200000e+02	2.725000e-02	1.991231e-03	1.991231e-03
2.200000e+02	2.400000e+02	2.021000e-02	1.461267e-03	1.461267e-03
2.400000e+02	2.600000e+02	1.578000e-02	1.177625e-03	1.177625e-03
2.600000e+02	2.800000e+02	1.185000e-02	9.140022e-04	9.140022e-04
2.800000e+02	3.000000e+02	9.436000e-03	7.400932e-04	7.400932e-04
3.000000e+02	3.200000e+02	7.525000e-03	6.122589e-04	6.122589e-04
3.200000e+02	3.400000e+02	5.844000e-03	4.806527e-04	4.806527e-04
3.400000e+02	3.600000e+02	4.500000e-03	3.710377e-04	3.710377e-04
3.600000e+02	3.800000e+02	3.650000e-03	3.090324e-04	3.090324e-04
3.800000e+02	4.000000e+02	2.921000e-03	2.694531e-04	2.694531e-04
4.000000e+02	4.400000e+02	2.237000e-03	1.751000e-04	1.751000e-04
4.400000e+02	5.000000e+02	1.487000e-03	1.264595e-04	1.264595e-04
5.000000e+02	6.500000e+02	6.027000e-04	5.720253e-05	5.720253e-05
6.500000e+02	1.000000e+03	1.181000e-04	1.442255e-05	1.442255e-05
# END HISTO1D

