# BEGIN PLOT
DrawOnly=/REF/CMS_2013_I1273574/d08-x01-y01 /ctest/mY_600_mX_600/mY_600_mX_600.yoda/CMS_2013_I1273574/d08-x01-y01 /THY/CMS_2013_I1273574/d08-x01-y01
Title=CMS, $\sqrt{s}$ = 7 TeV, Subleading soft jet $\eta$ in pp$\rightarrow$ 4j in $|\eta|<4.7$
RatioPlotReference=/REF/CMS_2013_I1273574/d08-x01-y01
RatioPlot=1
LogY=1
LegendXPos=0.2
XLabel=$\eta$
MainPlot=1
YLabel=$d\sigma/d\eta\; [\text{pb}/rad]$
LegendYPos=0.4
Legend=1
RatioPlotYMin=1
FullRange=1
# END PLOT

# BEGIN HISTO1D /REF/CMS_2013_I1273574/d08-x01-y01
IsRef=1
LineColor=green
Path=/REF/CMS_2013_I1273574/d08-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-4.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.700000e+00	-4.000000e+00	6.906546e+03	2.079999e+03	2.079999e+03
-4.000000e+00	-3.000000e+00	1.540673e+04	2.725180e+03	2.725180e+03
-3.000000e+00	-2.500000e+00	2.567124e+04	2.320969e+03	2.320969e+03
-2.500000e+00	-2.000000e+00	3.626039e+04	5.199460e+03	5.199460e+03
-2.000000e+00	-1.500000e+00	4.706273e+04	6.312261e+03	6.312261e+03
-1.500000e+00	-1.000000e+00	5.412160e+04	7.326021e+03	7.326021e+03
-1.000000e+00	-5.000000e-01	5.827967e+04	8.039081e+03	8.039081e+03
-5.000000e-01	0.000000e+00	6.345854e+04	8.885661e+03	8.885661e+03
0.000000e+00	5.000000e-01	6.012266e+04	8.181578e+03	8.181578e+03
5.000000e-01	1.000000e+00	5.832044e+04	7.948164e+03	7.948164e+03
1.000000e+00	1.500000e+00	5.504011e+04	6.899245e+03	6.899245e+03
1.500000e+00	2.000000e+00	4.856218e+04	6.505944e+03	6.505944e+03
2.000000e+00	2.500000e+00	3.884799e+04	5.295198e+03	5.295198e+03
2.500000e+00	3.000000e+00	2.630974e+04	1.462954e+03	1.462954e+03
3.000000e+00	4.000000e+00	1.592102e+04	2.427355e+03	2.427355e+03
4.000000e+00	4.700000e+00	7.130328e+03	2.147394e+03	2.147394e+03
4.700000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D /REF/CMS_2013_I1273574/d08-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/CMS_2013_I1273574/d08-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-4.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.700000e+00	-4.000000e+00	6.906546e+03	2.079999e+03	2.079999e+03
-4.000000e+00	-3.000000e+00	1.540673e+04	2.725180e+03	2.725180e+03
-3.000000e+00	-2.500000e+00	2.567124e+04	2.320969e+03	2.320969e+03
-2.500000e+00	-2.000000e+00	3.626039e+04	5.199460e+03	5.199460e+03
-2.000000e+00	-1.500000e+00	4.706273e+04	6.312261e+03	6.312261e+03
-1.500000e+00	-1.000000e+00	5.412160e+04	7.326021e+03	7.326021e+03
-1.000000e+00	-5.000000e-01	5.827967e+04	8.039081e+03	8.039081e+03
-5.000000e-01	0.000000e+00	6.345854e+04	8.885661e+03	8.885661e+03
0.000000e+00	5.000000e-01	6.012266e+04	8.181578e+03	8.181578e+03
5.000000e-01	1.000000e+00	5.832044e+04	7.948164e+03	7.948164e+03
1.000000e+00	1.500000e+00	5.504011e+04	6.899245e+03	6.899245e+03
1.500000e+00	2.000000e+00	4.856218e+04	6.505944e+03	6.505944e+03
2.000000e+00	2.500000e+00	3.884799e+04	5.295198e+03	5.295198e+03
2.500000e+00	3.000000e+00	2.630974e+04	1.462954e+03	1.462954e+03
3.000000e+00	4.000000e+00	1.592102e+04	2.427355e+03	2.427355e+03
4.000000e+00	4.700000e+00	7.130328e+03	2.147394e+03	2.147394e+03
4.700000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D /ctest/mY_600_mX_600/mY_600_mX_600.yoda/CMS_2013_I1273574/d08-x01-y01
LineColor=red
Path=/ctest/mY_600_mX_600/mY_600_mX_600.yoda/CMS_2013_I1273574/d08-x01-y01
Title=[15]  0.00
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-4.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.700000e+00	-4.000000e+00	6.906871e+03	2.080089e+03	2.080089e+03
-4.000000e+00	-3.000000e+00	1.540838e+04	2.725350e+03	2.725350e+03
-3.000000e+00	-2.500000e+00	2.567495e+04	2.321329e+03	2.321329e+03
-2.500000e+00	-2.000000e+00	3.626620e+04	5.199911e+03	5.199911e+03
-2.000000e+00	-1.500000e+00	4.707190e+04	6.312828e+03	6.312828e+03
-1.500000e+00	-1.000000e+00	5.413217e+04	7.326629e+03	7.326629e+03
-1.000000e+00	-5.000000e-01	5.829353e+04	8.039778e+03	8.039778e+03
-5.000000e-01	0.000000e+00	6.347296e+04	8.886372e+03	8.886372e+03
0.000000e+00	5.000000e-01	6.013733e+04	8.182295e+03	8.182295e+03
5.000000e-01	1.000000e+00	5.833311e+04	7.948830e+03	7.948830e+03
1.000000e+00	1.500000e+00	5.505058e+04	6.899850e+03	6.899850e+03
1.500000e+00	2.000000e+00	4.857013e+04	6.506471e+03	6.506471e+03
2.000000e+00	2.500000e+00	3.885359e+04	5.295641e+03	5.295641e+03
2.500000e+00	3.000000e+00	2.631370e+04	1.463326e+03	1.463326e+03
3.000000e+00	4.000000e+00	1.592265e+04	2.427524e+03	2.427524e+03
4.000000e+00	4.700000e+00	7.130578e+03	2.147473e+03	2.147473e+03
4.700000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

