# BEGIN PLOT
XTwosidedTicks=1
DrawOnly=/REF/ATLAS_2014_I1319490_MU/d15-x01-y03 /LHC.yoda/ATLAS_2014_I1319490_MU/d15-x01-y03 /THY/ATLAS_2014_I1319490_MU/d15-x01-y03
Title=muon channel, dressed level
RatioPlotReference=/REF/ATLAS_2014_I1319490_MU/d15-x01-y03
RatioPlot=1
LogY=1
LegendXPos=0.1
XLabel=$H_\text{T}$ [GeV]
MainPlot=1
YLabel=$\text{d}\sigma_{W + \geq 1j} / \text{d}H_\text{T}$
YTwosidedTicks=1
LegendYPos=0.3
Legend=1
RatioPlotYMin=1
LeftMargin=1.5
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_MU/d15-x01-y03
IsRef=1
LineColor=green
Path=/REF/ATLAS_2014_I1319490_MU/d15-x01-y03
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
1.400000e+03	2.000000e+03	3.659000e-05	9.520095e-06	9.520095e-06
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2014_I1319490_MU/d15-x01-y03
LineColor=red
Path=/LHC.yoda/ATLAS_2014_I1319490_MU/d15-x01-y03
Title=[32]  0.34
# xlow	 xhigh	 val	 errminus	 errplus
8.000000e+01	9.000000e+01	2.682000e-01	6.281027e-02	6.281027e-02
9.000000e+01	1.000000e+02	1.497000e+00	2.881232e-01	2.881232e-01
1.000000e+02	1.100000e+02	3.914000e+00	5.834604e-01	5.834604e-01
1.100000e+02	1.200000e+02	8.039000e+00	8.949603e-01	8.949603e-01
1.200000e+02	1.300000e+02	7.417000e+00	5.860956e-01	5.860956e-01
1.300000e+02	1.400000e+02	4.994000e+00	3.341901e-01	3.341901e-01
1.400000e+02	1.500000e+02	3.646000e+00	2.304300e-01	2.304300e-01
1.500000e+02	1.600000e+02	2.920000e+00	1.833848e-01	1.833848e-01
1.600000e+02	1.700000e+02	2.365000e+00	1.498766e-01	1.498766e-01
1.700000e+02	1.800000e+02	1.912000e+00	1.211569e-01	1.211569e-01
1.800000e+02	1.900000e+02	1.575000e+00	9.816822e-02	9.816822e-02
1.900000e+02	2.000000e+02	1.316000e+00	8.131421e-02	8.131421e-02
2.000000e+02	2.200000e+02	1.007000e+00	6.208059e-02	6.208059e-02
2.200000e+02	2.400000e+02	7.262000e-01	4.531071e-02	4.531071e-02
2.400000e+02	2.600000e+02	5.360000e-01	3.537372e-02	3.537372e-02
2.600000e+02	2.800000e+02	4.014000e-01	2.804835e-02	2.804835e-02
2.800000e+02	3.000000e+02	3.078000e-01	2.139953e-02	2.139953e-02
3.000000e+02	3.200000e+02	2.386700e-01	1.698277e-02	1.698277e-02
3.200000e+02	3.400000e+02	1.870000e-01	1.394597e-02	1.394597e-02
3.400000e+02	3.600000e+02	1.464000e-01	1.125567e-02	1.125567e-02
3.600000e+02	3.800000e+02	1.157000e-01	9.075792e-03	9.075792e-03
3.800000e+02	4.000000e+02	9.368000e-02	7.492596e-03	7.492596e-03
4.000000e+02	4.200000e+02	7.614998e-02	6.204049e-03	6.204049e-03
4.200000e+02	4.400000e+02	6.150996e-02	5.064856e-03	5.064856e-03
4.400000e+02	4.600000e+02	5.061998e-02	4.279943e-03	4.279943e-03
4.600000e+02	4.800000e+02	4.261000e-02	3.558286e-03	3.558286e-03
4.800000e+02	5.000000e+02	3.605998e-02	3.279400e-03	3.279400e-03
5.000000e+02	5.300000e+02	2.808996e-02	2.660276e-03	2.660276e-03
5.300000e+02	5.900000e+02	1.897332e-02	1.834951e-03	1.834951e-03
5.900000e+02	6.800000e+02	1.069332e-02	1.043893e-03	1.043893e-03
6.800000e+02	1.000000e+03	3.014613e-03	2.902158e-04	2.902158e-04
1.000000e+03	1.400000e+03	4.202969e-04	6.509910e-05	6.509910e-05
1.400000e+03	2.000000e+03	4.225597e-05	1.518607e-05	1.518607e-05
# END HISTO1D

