# BEGIN PLOT
XTwosidedTicks=1
DrawOnly=/REF/ATLAS_2014_I1319490_EL/d30-x01-y02 /LHC.yoda/ATLAS_2014_I1319490_EL/d30-x01-y02 /THY/ATLAS_2014_I1319490_EL/d30-x01-y02
Title=electron channel, dressed level
RatioPlotReference=/REF/ATLAS_2014_I1319490_EL/d30-x01-y02
RatioPlot=1
LogY=1
LegendXPos=0.1
XLabel=$S_\text{T}$ [GeV]
MainPlot=1
YLabel=$\text{d}\sigma_{W + \geq 1j} / \text{d}S_\text{T}$
YTwosidedTicks=1
LegendYPos=0.3
Legend=1
RatioPlotYMin=1
LeftMargin=1.5
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_EL/d30-x01-y02
IsRef=1
LineColor=green
Path=/REF/ATLAS_2014_I1319490_EL/d30-x01-y02
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
1.400000e+03	2.000000e+03	6.486000e-06	3.689341e-06	3.689341e-06
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2014_I1319490_EL/d30-x01-y02
LineColor=red
Path=/LHC.yoda/ATLAS_2014_I1319490_EL/d30-x01-y02
Title=[30]  0.44
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	4.000000e+01	1.721000e+01	2.042792e+00	2.042792e+00
4.000000e+01	5.000000e+01	7.674000e+00	6.179604e-01	6.179604e-01
5.000000e+01	6.000000e+01	3.858000e+00	3.302938e-01	3.302938e-01
6.000000e+01	7.000000e+01	2.925000e+00	2.957685e-01	2.957685e-01
7.000000e+01	8.000000e+01	2.581000e+00	2.552998e-01	2.552998e-01
8.000000e+01	9.000000e+01	2.044000e+00	1.845671e-01	1.845671e-01
9.000000e+01	1.000000e+02	1.574000e+00	1.354769e-01	1.354769e-01
1.000000e+02	1.100000e+02	1.252000e+00	1.080833e-01	1.080833e-01
1.100000e+02	1.200000e+02	1.026000e+00	9.034379e-02	9.034379e-02
1.200000e+02	1.300000e+02	8.333000e-01	7.392077e-02	7.392077e-02
1.300000e+02	1.400000e+02	6.819000e-01	5.978486e-02	5.978486e-02
1.400000e+02	1.500000e+02	5.536000e-01	4.796040e-02	4.796040e-02
1.500000e+02	1.600000e+02	4.674000e-01	3.978819e-02	3.978819e-02
1.600000e+02	1.700000e+02	3.886000e-01	3.320813e-02	3.320813e-02
1.700000e+02	1.800000e+02	3.305000e-01	2.920086e-02	2.920086e-02
1.800000e+02	1.900000e+02	2.817000e-01	2.576218e-02	2.576218e-02
1.900000e+02	2.000000e+02	2.393000e-01	2.220315e-02	2.220315e-02
2.000000e+02	2.200000e+02	1.893000e-01	1.744076e-02	1.744076e-02
2.200000e+02	2.400000e+02	1.417000e-01	1.310763e-02	1.310763e-02
2.400000e+02	2.600000e+02	1.099973e-01	1.200833e-02	1.200833e-02
2.600000e+02	2.800000e+02	8.259000e-02	8.405231e-03	8.405231e-03
2.800000e+02	3.000000e+02	6.346000e-02	6.438742e-03	6.438742e-03
3.000000e+02	3.200000e+02	5.003000e-02	4.974475e-03	4.974475e-03
3.200000e+02	3.400000e+02	3.946000e-02	4.083026e-03	4.083026e-03
3.400000e+02	3.600000e+02	3.236000e-02	3.407961e-03	3.407961e-03
3.600000e+02	3.800000e+02	2.785728e-02	4.483506e-03	4.483506e-03
3.800000e+02	4.000000e+02	2.160000e-02	2.597576e-03	2.597576e-03
4.000000e+02	4.400000e+02	1.504000e-02	1.881462e-03	1.881462e-03
4.400000e+02	5.000000e+02	9.553000e-03	1.118607e-03	1.118607e-03
5.000000e+02	6.500000e+02	4.850941e-03	8.233421e-04	8.233421e-04
6.500000e+02	1.000000e+03	9.711000e-04	1.168543e-04	1.168543e-04
1.000000e+03	1.400000e+03	9.190000e-05	2.156946e-05	2.156946e-05
1.400000e+03	2.000000e+03	6.486000e-06	3.689341e-06	3.689341e-06
# END HISTO1D

