# BEGIN PLOT
XTwosidedTicks=1
DrawOnly=/REF/ATLAS_2014_I1319490_EL/d15-x01-y02 /LHC.yoda/ATLAS_2014_I1319490_EL/d15-x01-y02 /THY/ATLAS_2014_I1319490_EL/d15-x01-y02
Title=electron channel, dressed level
RatioPlotReference=/REF/ATLAS_2014_I1319490_EL/d15-x01-y02
RatioPlot=1
LogY=1
LegendXPos=0.1
XLabel=$H_\text{T}$ [GeV]
MainPlot=1
YLabel=$\text{d}\sigma_{W + \geq 1j} / \text{d}H_\text{T}$
YTwosidedTicks=1
LegendYPos=0.3
Legend=1
RatioPlotYMin=1
LeftMargin=1.5
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_EL/d15-x01-y02
IsRef=1
LineColor=green
Path=/REF/ATLAS_2014_I1319490_EL/d15-x01-y02
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
1.400000e+03	2.000000e+03	1.724000e-05	2.395124e-05	2.395124e-05
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2014_I1319490_EL/d15-x01-y02
LineColor=red
Path=/LHC.yoda/ATLAS_2014_I1319490_EL/d15-x01-y02
Title=[32]  0.30
# xlow	 xhigh	 val	 errminus	 errplus
8.000000e+01	9.000000e+01	2.347000e-01	6.527258e-02	6.527258e-02
9.000000e+01	1.000000e+02	1.378000e+00	3.020447e-01	3.020447e-01
1.000000e+02	1.100000e+02	3.628000e+00	6.099689e-01	6.099689e-01
1.100000e+02	1.200000e+02	7.504000e+00	9.112332e-01	9.112332e-01
1.200000e+02	1.300000e+02	6.941000e+00	6.017824e-01	6.017824e-01
1.300000e+02	1.400000e+02	4.683000e+00	3.598375e-01	3.598375e-01
1.400000e+02	1.500000e+02	3.471000e+00	2.640720e-01	2.640720e-01
1.500000e+02	1.600000e+02	2.812000e+00	2.114616e-01	2.114616e-01
1.600000e+02	1.700000e+02	2.261000e+00	1.654177e-01	1.654177e-01
1.700000e+02	1.800000e+02	1.847000e+00	1.314458e-01	1.314458e-01
1.800000e+02	1.900000e+02	1.508000e+00	1.055320e-01	1.055320e-01
1.900000e+02	2.000000e+02	1.259000e+00	8.753856e-02	8.753856e-02
2.000000e+02	2.200000e+02	9.726000e-01	6.739317e-02	6.739317e-02
2.200000e+02	2.400000e+02	7.020000e-01	5.001740e-02	5.001740e-02
2.400000e+02	2.600000e+02	5.190000e-01	3.844451e-02	3.844451e-02
2.600000e+02	2.800000e+02	3.934000e-01	2.957364e-02	2.957364e-02
2.800000e+02	3.000000e+02	3.013000e-01	2.275280e-02	2.275280e-02
3.000000e+02	3.200000e+02	2.343000e-01	1.828059e-02	1.828059e-02
3.200000e+02	3.400000e+02	1.820000e-01	1.485867e-02	1.485867e-02
3.400000e+02	3.600000e+02	1.410700e-01	1.196617e-02	1.196617e-02
3.600000e+02	3.800000e+02	1.137000e-01	9.339700e-03	9.339700e-03
3.800000e+02	4.000000e+02	9.159000e-02	7.705076e-03	7.705076e-03
4.000000e+02	4.200000e+02	7.212000e-02	6.306481e-03	6.306481e-03
4.200000e+02	4.400000e+02	6.036000e-02	5.343772e-03	5.343772e-03
4.400000e+02	4.600000e+02	4.992000e-02	4.477845e-03	4.477845e-03
4.600000e+02	4.800000e+02	4.136998e-02	4.068312e-03	4.068312e-03
4.800000e+02	5.000000e+02	3.389998e-02	3.490250e-03	3.490250e-03
5.000000e+02	5.300000e+02	2.659332e-02	2.705673e-03	2.705673e-03
5.300000e+02	5.900000e+02	1.736666e-02	1.899755e-03	1.899755e-03
5.900000e+02	6.800000e+02	9.693093e-03	1.175987e-03	1.175987e-03
6.800000e+02	1.000000e+03	2.779484e-03	3.905784e-04	3.905784e-04
1.000000e+03	1.400000e+03	2.924969e-04	7.589080e-05	7.589080e-05
1.400000e+03	2.000000e+03	1.724000e-05	2.395124e-05	2.395124e-05
# END HISTO1D

