# BEGIN PLOT
XTwosidedTicks=1
DrawOnly=/REF/ATLAS_2014_I1319490_MU/d16-x01-y03 /LHC.yoda/ATLAS_2014_I1319490_MU/d16-x01-y03 /THY/ATLAS_2014_I1319490_MU/d16-x01-y03
Title=muon channel, dressed level
RatioPlotReference=/REF/ATLAS_2014_I1319490_MU/d16-x01-y03
RatioPlot=1
LogY=1
LegendXPos=0.1
XLabel=$H_\text{T}$ [GeV]
MainPlot=1
YLabel=$\text{d}\sigma_{W + 1j} / \text{d}H_\text{T}$
YTwosidedTicks=1
LegendYPos=0.3
Legend=1
RatioPlotYMin=1
LeftMargin=1.5
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_MU/d16-x01-y03
IsRef=1
LineColor=green
Path=/REF/ATLAS_2014_I1319490_MU/d16-x01-y03
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
1.200000e+02	1.300000e+02	7.326000e+00	5.636435e-01	5.636435e-01
1.300000e+02	1.400000e+02	4.725000e+00	2.937652e-01	2.937652e-01
1.400000e+02	1.500000e+02	3.031000e+00	1.696261e-01	1.696261e-01
1.500000e+02	1.600000e+02	2.053000e+00	1.115078e-01	1.115078e-01
1.600000e+02	1.700000e+02	1.448000e+00	7.810250e-02	7.810250e-02
1.700000e+02	1.800000e+02	1.054000e+00	5.509083e-02	5.509083e-02
1.800000e+02	1.900000e+02	7.905000e-01	3.973022e-02	3.973022e-02
1.900000e+02	2.000000e+02	6.047000e-01	2.899517e-02	2.899517e-02
2.000000e+02	2.200000e+02	4.090000e-01	1.841032e-02	1.841032e-02
2.200000e+02	2.400000e+02	2.612000e-01	1.105351e-02	1.105351e-02
2.400000e+02	2.600000e+02	1.740000e-01	7.297260e-03	7.297260e-03
2.600000e+02	2.800000e+02	1.172000e-01	5.069517e-03	5.069517e-03
2.800000e+02	3.000000e+02	8.515000e-02	3.562780e-03	3.562780e-03
3.000000e+02	3.200000e+02	6.020000e-02	2.488514e-03	2.488514e-03
3.200000e+02	3.400000e+02	4.354000e-02	1.926110e-03	1.926110e-03
3.400000e+02	3.600000e+02	3.281000e-02	1.656231e-03	1.656231e-03
3.600000e+02	3.800000e+02	2.275000e-02	1.275735e-03	1.275735e-03
3.800000e+02	4.000000e+02	1.753000e-02	9.065319e-04	9.065319e-04
4.000000e+02	4.200000e+02	1.402000e-02	7.231874e-04	7.231874e-04
4.200000e+02	4.400000e+02	1.012000e-02	5.557877e-04	5.557877e-04
4.400000e+02	4.600000e+02	8.275000e-03	5.574460e-04	5.574460e-04
4.600000e+02	4.800000e+02	6.728000e-03	4.683567e-04	4.683567e-04
4.800000e+02	5.000000e+02	5.015000e-03	3.984696e-04	3.984696e-04
5.000000e+02	5.300000e+02	3.842000e-03	2.752217e-04	2.752217e-04
5.300000e+02	5.900000e+02	2.339000e-03	1.845427e-04	1.845427e-04
5.900000e+02	6.800000e+02	1.189000e-03	1.007819e-04	1.007819e-04
6.800000e+02	1.000000e+03	2.458000e-04	2.989532e-05	2.989532e-05
1.000000e+03	1.400000e+03	2.908000e-05	1.490250e-05	1.490250e-05
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2014_I1319490_MU/d16-x01-y03
LineColor=red
Path=/LHC.yoda/ATLAS_2014_I1319490_MU/d16-x01-y03
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
8.000000e+01	9.000000e+01	2.708000e-01	6.465563e-02	6.465563e-02
9.000000e+01	1.000000e+02	1.505000e+00	2.939354e-01	2.939354e-01
1.000000e+02	1.100000e+02	3.921000e+00	5.897686e-01	5.897686e-01
1.100000e+02	1.200000e+02	8.024000e+00	8.898247e-01	8.898247e-01
1.200000e+02	1.300000e+02	7.326000e+00	5.636435e-01	5.636435e-01
1.300000e+02	1.400000e+02	4.725000e+00	2.937652e-01	2.937652e-01
1.400000e+02	1.500000e+02	3.031000e+00	1.696261e-01	1.696261e-01
1.500000e+02	1.600000e+02	2.053000e+00	1.115078e-01	1.115078e-01
1.600000e+02	1.700000e+02	1.448000e+00	7.810250e-02	7.810250e-02
1.700000e+02	1.800000e+02	1.054000e+00	5.509083e-02	5.509083e-02
1.800000e+02	1.900000e+02	7.905000e-01	3.973022e-02	3.973022e-02
1.900000e+02	2.000000e+02	6.047000e-01	2.899517e-02	2.899517e-02
2.000000e+02	2.200000e+02	4.090000e-01	1.841032e-02	1.841032e-02
2.200000e+02	2.400000e+02	2.612000e-01	1.105351e-02	1.105351e-02
2.400000e+02	2.600000e+02	1.740000e-01	7.297260e-03	7.297260e-03
2.600000e+02	2.800000e+02	1.172000e-01	5.069517e-03	5.069517e-03
2.800000e+02	3.000000e+02	8.515000e-02	3.562780e-03	3.562780e-03
3.000000e+02	3.200000e+02	6.020000e-02	2.488514e-03	2.488514e-03
3.200000e+02	3.400000e+02	4.354000e-02	1.926110e-03	1.926110e-03
3.400000e+02	3.600000e+02	3.281000e-02	1.656231e-03	1.656231e-03
3.600000e+02	3.800000e+02	2.275000e-02	1.275735e-03	1.275735e-03
3.800000e+02	4.000000e+02	1.753000e-02	9.065319e-04	9.065319e-04
4.000000e+02	4.200000e+02	1.402000e-02	7.231874e-04	7.231874e-04
4.200000e+02	4.400000e+02	1.012000e-02	5.557877e-04	5.557877e-04
4.400000e+02	4.600000e+02	8.275000e-03	5.574460e-04	5.574460e-04
4.600000e+02	4.800000e+02	6.728000e-03	4.683567e-04	4.683567e-04
4.800000e+02	5.000000e+02	5.015000e-03	3.984696e-04	3.984696e-04
5.000000e+02	5.300000e+02	3.842000e-03	2.752217e-04	2.752217e-04
5.300000e+02	5.900000e+02	2.339000e-03	1.845427e-04	1.845427e-04
5.900000e+02	6.800000e+02	1.189000e-03	1.007819e-04	1.007819e-04
6.800000e+02	1.000000e+03	2.458000e-04	2.989532e-05	2.989532e-05
1.000000e+03	1.400000e+03	2.908000e-05	1.490250e-05	1.490250e-05
# END HISTO1D

