# BEGIN PLOT
DrawOnly=/REF/ATLAS_2014_I1268975/d01-x01-y02 /ctest/mY_2100_mX_100/mY_2100_mX_100.yoda/ATLAS_2014_I1268975/d01-x01-y02 /THY/ATLAS_2014_I1268975/d01-x01-y02
Title=Dijet double-differential cross sections ($0.5 < y^{*} < 1.0$), R=0.4
RatioPlotReference=/REF/ATLAS_2014_I1268975/d01-x01-y02
RatioPlot=1
LogY=1
XLabel=$m_{12} [TeV]$
MainPlot=1
YLabel=$d^2\sigma/dm_{12}dy^{*}$ [pb/TeV]
Legend=1
RatioPlotYMin=1
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2014_I1268975/d01-x01-y02
IsRef=1
LineColor=green
Path=/REF/ATLAS_2014_I1268975/d01-x01-y02
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
3.100000e-01	3.700000e-01	6.920000e+05	5.752951e+04	6.243531e+04
3.700000e-01	4.400000e-01	2.640000e+05	2.173661e+04	2.290443e+04
4.400000e-01	5.100000e-01	1.090000e+05	9.026023e+03	8.987108e+03
5.100000e-01	5.900000e-01	4.590000e+04	3.771735e+03	3.589421e+03
5.900000e-01	6.700000e-01	2.020000e+04	1.609352e+03	1.550467e+03
6.700000e-01	7.600000e-01	9.490000e+03	7.209540e+02	7.310023e+02
7.600000e-01	8.500000e-01	4.540000e+03	3.345536e+02	3.443897e+02
8.500000e-01	9.500000e-01	2.240000e+03	1.580686e+02	1.626525e+02
9.500000e-01	1.060000e+00	1.110000e+03	7.439692e+01	7.660005e+01
1.060000e+00	1.180000e+00	5.380000e+02	3.526445e+01	3.590299e+01
1.180000e+00	1.310000e+00	2.610000e+02	1.673759e+01	1.732161e+01
1.310000e+00	1.450000e+00	1.260000e+02	8.187722e+00	8.450130e+00
1.450000e+00	1.600000e+00	6.010000e+01	4.032580e+00	4.212200e+00
1.600000e+00	1.760000e+00	2.860000e+01	2.079181e+00	2.164756e+00
1.760000e+00	1.940000e+00	1.330000e+01	1.059088e+00	1.098764e+00
1.940000e+00	2.120000e+00	6.050000e+00	5.336103e-01	5.561806e-01
2.120000e+00	2.330000e+00	2.680000e+00	2.658495e-01	2.757166e-01
2.330000e+00	2.550000e+00	1.030000e+00	1.165183e-01	1.257155e-01
2.550000e+00	2.780000e+00	4.520000e-01	5.989812e-02	5.989812e-02
2.780000e+00	3.040000e+00	1.670000e-01	2.751909e-02	2.751859e-02
3.040000e+00	4.270000e+00	1.720000e-02	4.308620e-03	4.308037e-03
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2014_I1268975/d01-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2014_I1268975/d01-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
3.100000e-01	3.700000e-01	6.920000e+05	5.752951e+04	6.243531e+04
3.700000e-01	4.400000e-01	2.640000e+05	2.173661e+04	2.290443e+04
4.400000e-01	5.100000e-01	1.090000e+05	9.026023e+03	8.987108e+03
5.100000e-01	5.900000e-01	4.590000e+04	3.771735e+03	3.589421e+03
5.900000e-01	6.700000e-01	2.020000e+04	1.609352e+03	1.550467e+03
