# BEGIN PLOT
XTwosidedTicks=1
DrawOnly=/REF/ATLAS_2014_I1319490_EL/d18-x01-y02 /LHC.yoda/ATLAS_2014_I1319490_EL/d18-x01-y02 /THY/ATLAS_2014_I1319490_EL/d18-x01-y02
Title=electron channel, dressed level
RatioPlotReference=/REF/ATLAS_2014_I1319490_EL/d18-x01-y02
RatioPlot=1
LogY=1
LegendXPos=0.1
XLabel=$H_\text{T}$ [GeV]
MainPlot=1
YLabel=$\text{d}\sigma_{W + 2j} / \text{d}H_\text{T}$
YTwosidedTicks=1
LegendYPos=0.3
Legend=1
RatioPlotYMin=1
LeftMargin=1.5
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_EL/d18-x01-y02
IsRef=1
LineColor=green
Path=/REF/ATLAS_2014_I1319490_EL/d18-x01-y02
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
1.400000e+02	1.500000e+02	5.270000e-01	8.624842e-02	8.624842e-02
1.500000e+02	1.600000e+02	7.857000e-01	1.070922e-01	1.070922e-01
1.600000e+02	1.700000e+02	8.341000e-01	9.983476e-02	9.983476e-02
1.700000e+02	1.800000e+02	7.843000e-01	8.553859e-02	8.553859e-02
1.800000e+02	1.900000e+02	6.915000e-01	6.903948e-02	6.903948e-02
1.900000e+02	2.000000e+02	6.044000e-01	5.534275e-02	5.534275e-02
2.000000e+02	2.200000e+02	4.797000e-01	3.992305e-02	3.992305e-02
2.200000e+02	2.400000e+02	3.448000e-01	2.629411e-02	2.629411e-02
2.400000e+02	2.600000e+02	2.495000e-01	1.821840e-02	1.821840e-02
2.600000e+02	2.800000e+02	1.849000e-01	1.286623e-02	1.286623e-02
2.800000e+02	3.000000e+02	1.369000e-01	8.686196e-03	8.686196e-03
3.000000e+02	3.200000e+02	1.027000e-01	6.360818e-03	6.360818e-03
3.200000e+02	3.400000e+02	7.803000e-02	4.942509e-03	4.942509e-03
3.400000e+02	3.600000e+02	5.887000e-02	3.730147e-03	3.730147e-03
3.600000e+02	3.800000e+02	4.713000e-02	2.832155e-03	2.832155e-03
3.800000e+02	4.000000e+02	3.682000e-02	2.397207e-03	2.397207e-03
4.000000e+02	4.200000e+02	2.838000e-02	2.020767e-03	2.020767e-03
4.200000e+02	4.400000e+02	2.281000e-02	1.553866e-03	1.553866e-03
4.400000e+02	4.600000e+02	1.838000e-02	1.166833e-03	1.166833e-03
4.600000e+02	4.800000e+02	1.417000e-02	1.032424e-03	1.032424e-03
4.800000e+02	5.000000e+02	1.148000e-02	8.814193e-04	8.814193e-04
5.000000e+02	5.300000e+02	8.807000e-03	6.534562e-04	6.534562e-04
5.300000e+02	5.900000e+02	5.799000e-03	5.168723e-04	5.168723e-04
5.900000e+02	6.800000e+02	3.379951e-03	6.349921e-04	6.349921e-04
6.800000e+02	1.000000e+03	7.824000e-04	1.179367e-04	1.179367e-04
1.000000e+03	1.400000e+03	6.952000e-05	1.574239e-05	1.574239e-05
1.400000e+03	2.000000e+03	1.140000e-05	3.791227e-06	3.791227e-06
# END HISTO1D

