# BEGIN PLOT
XTwosidedTicks=1
DrawOnly=/REF/ATLAS_2014_I1319490_MU/d26-x01-y03 /LHC.yoda/ATLAS_2014_I1319490_MU/d26-x01-y03 /THY/ATLAS_2014_I1319490_MU/d26-x01-y03
Title=muon channel, dressed level
RatioPlotReference=/REF/ATLAS_2014_I1319490_MU/d26-x01-y03
RatioPlot=1
LogY=1
LegendXPos=0.1
XLabel=$m_{12}$ [GeV]
MainPlot=1
YLabel=$\text{d}\sigma_{W + \geq 2j} / \text{d}m_{12}$
YTwosidedTicks=1
LegendYPos=0.3
Legend=1
RatioPlotYMin=1
LeftMargin=1.5
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_MU/d26-x01-y03
IsRef=1
LineColor=green
Path=/REF/ATLAS_2014_I1319490_MU/d26-x01-y03
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+03	1.200000e+03	1.227000e-03	2.275104e-04	2.275104e-04
1.200000e+03	1.400000e+03	5.169000e-04	1.005072e-04	1.005072e-04
1.400000e+03	1.600000e+03	2.416000e-04	6.070066e-05	6.070066e-05
1.600000e+03	1.800000e+03	1.285000e-04	4.790929e-05	4.790929e-05
1.800000e+03	2.000000e+03	5.805000e-05	2.906066e-05	2.906066e-05
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2014_I1319490_MU/d26-x01-y03
LineColor=red
Path=/LHC.yoda/ATLAS_2014_I1319490_MU/d26-x01-y03
Title=[20]  0.14
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e+01	1.386000e-02	2.562421e-03	2.562421e-03
2.500000e+01	5.000000e+01	1.898000e-01	3.094172e-02	3.094172e-02
5.000000e+01	7.500000e+01	3.630000e-01	4.034241e-02	4.034241e-02
7.500000e+01	1.000000e+02	6.707000e-01	6.135870e-02	6.135870e-02
1.000000e+02	1.200000e+02	6.392000e-01	5.003179e-02	5.003179e-02
1.200000e+02	1.500000e+02	5.141000e-01	3.909079e-02	3.909079e-02
1.500000e+02	1.800000e+02	3.981000e-01	3.046424e-02	3.046424e-02
1.800000e+02	2.000000e+02	3.046000e-01	2.353232e-02	2.353232e-02
2.000000e+02	2.200000e+02	2.382000e-01	1.901000e-02	1.901000e-02
2.200000e+02	2.500000e+02	1.878000e-01	1.517663e-02	1.517663e-02
2.500000e+02	2.800000e+02	1.465000e-01	1.253355e-02	1.253355e-02
2.800000e+02	3.000000e+02	1.177000e-01	1.046184e-02	1.046184e-02
3.000000e+02	3.200000e+02	9.679000e-02	8.657101e-03	8.657101e-03
3.200000e+02	3.500000e+02	7.883000e-02	7.022571e-03	7.022571e-03
3.500000e+02	3.800000e+02	6.385000e-02	6.084513e-03	6.084513e-03
3.800000e+02	4.000000e+02	5.479000e-02	5.769705e-03	5.769705e-03
4.000000e+02	4.500000e+02	4.100000e-02	4.464224e-03	4.464224e-03
4.500000e+02	5.000000e+02	2.871000e-02	3.157895e-03	3.157895e-03
5.000000e+02	5.800000e+02	2.031000e-02	2.585015e-03	2.585015e-03
5.800000e+02	6.800000e+02	1.264946e-02	2.075161e-03	2.075161e-03
6.800000e+02	8.000000e+02	6.530000e-03	9.988078e-04	9.988078e-04
8.000000e+02	1.000000e+03	2.941000e-03	5.488588e-04	5.488588e-04
1.000000e+03	1.200000e+03	1.227000e-03	2.275104e-04	2.275104e-04
1.200000e+03	1.400000e+03	5.169000e-04	1.005072e-04	1.005072e-04
1.400000e+03	1.600000e+03	2.416000e-04	6.070066e-05	6.070066e-05
1.600000e+03	1.800000e+03	1.285000e-04	4.790929e-05	4.790929e-05
1.800000e+03	2.000000e+03	5.805000e-05	2.906066e-05	2.906066e-05
# END HISTO1D

