# BEGIN PLOT
DrawOnly=/REF/ATLAS_2012_I1199269/d02-x01-y01 /LHC.yoda/ATLAS_2012_I1199269/d02-x01-y01 /THY/ATLAS_2012_I1199269/d02-x01-y01
Title=Isolated diphoton cross-section vs diphoton transverse momentum
RatioPlotReference=/REF/ATLAS_2012_I1199269/d02-x01-y01
RatioPlot=1
LogY=1
XLabel=$p_{\perp\gamma\gamma}$ [GeV]
MainPlot=1
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_{\perp\gamma\gamma}$ [pb/GeV]
Legend=1
RatioPlotYMin=1
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2012_I1199269/d02-x01-y01
IsRef=1
LineColor=green
Path=/REF/ATLAS_2012_I1199269/d02-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2012_I1199269/d02-x01-y01
LineColor=red
Path=/LHC.yoda/ATLAS_2012_I1199269/d02-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+00	7.270000e-01	9.400000e-02	6.100000e-02
2.000000e+00	4.000000e+00	1.750000e+00	2.300000e-01	1.300000e-01
4.000000e+00	6.000000e+00	2.030000e+00	2.300000e-01	1.500000e-01
6.000000e+00	8.000000e+00	1.880000e+00	2.100000e-01	1.600000e-01
8.000000e+00	1.000000e+01	1.720000e+00	1.900000e-01	1.400000e-01
1.000000e+01	1.200000e+01	1.400000e+00	1.600000e-01	1.200000e-01
1.200000e+01	1.400000e+01	1.280000e+00	1.300000e-01	1.100000e-01
1.400000e+01	1.600000e+01	1.122000e+00	1.170000e-01	9.700000e-02
1.600000e+01	1.800000e+01	9.990000e-01	9.300000e-02	9.000000e-02
1.800000e+01	2.000000e+01	8.100000e-01	7.900000e-02	7.500000e-02
2.000000e+01	2.500000e+01	6.740000e-01	7.500000e-02	5.800000e-02
2.500000e+01	3.000000e+01	4.920000e-01	4.700000e-02	4.300000e-02
3.000000e+01	3.500000e+01	4.050000e-01	4.400000e-02	3.500000e-02
3.500000e+01	4.000000e+01	3.250000e-01	3.500000e-02	3.000000e-02
4.000000e+01	4.500000e+01	2.720000e-01	2.800000e-02	2.600000e-02
4.500000e+01	5.000000e+01	2.820000e-01	2.800000e-02	2.400000e-02
5.000000e+01	5.500000e+01	2.350000e-01	2.600000e-02	2.500000e-02
5.500000e+01	6.000000e+01	1.940000e-01	2.400000e-02	2.100000e-02
6.000000e+01	6.500000e+01	1.500000e-01	1.700000e-02	1.600000e-02
6.500000e+01	7.000000e+01	1.020000e-01	1.300000e-02	1.400000e-02
7.000000e+01	7.500000e+01	8.360000e-02	9.600000e-03	1.110000e-02
7.500000e+01	8.000000e+01	7.480000e-02	9.300000e-03	9.400000e-03
8.000000e+01	9.000000e+01	5.210000e-02	5.900000e-03	6.300000e-03
9.000000e+01	1.000000e+02	3.810000e-02	4.000000e-03	4.700000e-03
1.000000e+02	1.100000e+02	2.390000e-02	2.600000e-03	3.100000e-03
1.100000e+02	1.200000e+02	1.750000e-02	1.900000e-03	2.700000e-03
1.200000e+02	1.300000e+02	1.060000e-02	1.400000e-03	1.700000e-03
1.300000e+02	1.400000e+02	9.000000e-03	1.200000e-03	1.500000e-03
1.400000e+02	1.500000e+02	6.460000e-03	9.000000e-04	1.100000e-03
1.500000e+02	1.750000e+02	3.330000e-03	4.900000e-04	5.600000e-04
1.750000e+02	2.000000e+02	1.950000e-03	2.800000e-04	3.400000e-04
2.000000e+02	2.500000e+02	7.700000e-04	1.300000e-04	1.600000e-04
2.500000e+02	5.000000e+02	1.180000e-04	2.100000e-05	2.500000e-05
# END HISTO1D

