# BEGIN PLOT
DrawOnly=/REF/CMS_2013_I1273574/d11-x01-y01 /ctest/mY_600_mX_1100/mY_600_mX_1100.yoda/CMS_2013_I1273574/d11-x01-y01 /THY/CMS_2013_I1273574/d11-x01-y01
Title=CMS, $\sqrt{s}$ = 7 TeV, Subleading hard jet $p_{T}$ in pp$\rightarrow$ 4j in $|\eta|<4.7$
RatioPlotReference=/REF/CMS_2013_I1273574/d11-x01-y01
RatioPlot=1
LogY=1
XLabel=$p_{T}$ [GeV] 
MainPlot=1
YLabel=$d\sigma/dp_{T}\; [\text{pb}/GeV]$
Legend=1
RatioPlotYMin=1
FullRange=1
# END PLOT

# BEGIN HISTO1D /REF/CMS_2013_I1273574/d11-x01-y01
IsRef=1
LineColor=green
Path=/REF/CMS_2013_I1273574/d11-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	5.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e+01	1.000000e+02	6.007025e+03	8.294824e+02	8.294824e+02
1.000000e+02	1.500000e+02	4.415664e+02	5.060258e+01	5.060258e+01
1.500000e+02	2.000000e+02	6.618842e+01	8.700732e+00	8.700732e+00
2.000000e+02	2.600000e+02	1.608326e+01	1.874043e+00	1.874043e+00
2.600000e+02	3.200000e+02	3.812217e+00	5.259668e-01	5.259668e-01
3.200000e+02	3.800000e+02	1.070462e+00	1.934759e-01	1.934759e-01
3.800000e+02	4.400000e+02	4.765549e-01	1.219669e-01	1.219669e-01
4.400000e+02	5.100000e+02	2.488388e-01	7.503446e-02	7.503446e-02
# END HISTO1D


# BEGIN HISTO1D /REF/CMS_2013_I1273574/d11-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/CMS_2013_I1273574/d11-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	5.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e+01	1.000000e+02	6.007025e+03	8.294824e+02	8.294824e+02
1.000000e+02	1.500000e+02	4.415664e+02	5.060258e+01	5.060258e+01
1.500000e+02	2.000000e+02	6.618842e+01	8.700732e+00	8.700732e+00
2.000000e+02	2.600000e+02	1.608326e+01	1.874043e+00	1.874043e+00
2.600000e+02	3.200000e+02	3.812217e+00	5.259668e-01	5.259668e-01
3.200000e+02	3.800000e+02	1.070462e+00	1.934759e-01	1.934759e-01
3.800000e+02	4.400000e+02	4.765549e-01	1.219669e-01	1.219669e-01
4.400000e+02	5.100000e+02	2.488388e-01	7.503446e-02	7.503446e-02
# END HISTO1D


# BEGIN HISTO1D /ctest/mY_600_mX_1100/mY_600_mX_1100.yoda/CMS_2013_I1273574/d11-x01-y01
LineColor=red
Path=/ctest/mY_600_mX_1100/mY_600_mX_1100.yoda/CMS_2013_I1273574/d11-x01-y01
Title=[7]  0.13
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	5.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e+01	1.000000e+02	6.007228e+03	8.294908e+02	8.294908e+02
1.000000e+02	1.500000e+02	4.418445e+02	5.061244e+01	5.061244e+01
1.500000e+02	2.000000e+02	6.647566e+01	8.710757e+00	8.710757e+00
2.000000e+02	2.600000e+02	1.633341e+01	1.882583e+00	1.882583e+00
2.600000e+02	3.200000e+02	3.895892e+00	5.309060e-01	5.309060e-01
3.200000e+02	3.800000e+02	1.075418e+00	1.946780e-01	1.946780e-01
3.800000e+02	4.400000e+02	4.774296e-01	1.224719e-01	1.224719e-01
4.400000e+02	5.100000e+02	2.490887e-01	7.528436e-02	7.528436e-02
# END HISTO1D

