# BEGIN PLOT
DrawOnly=/REF/CMS_2013_I1208923/d02-x01-y02 /ctest/mY_1100_mX_600/mY_1100_mX_600.yoda/CMS_2013_I1208923/d02-x01-y02 /THY/CMS_2013_I1208923/d02-x01-y02
Title=Dijet Analysis, $0.5 < |y| < 1.0$, $\sqrt{s} = 7$ TeV
RatioPlotReference=/REF/CMS_2013_I1208923/d02-x01-y02
RatioPlot=1
LogX=0
LogY=1
XLabel=$M_{jj}$ [GeV]
MainPlot=1
YLabel=d$^2\sigma$/d$M$d$y$ [pb/GeV]
Legend=1
RatioPlotYMin=1
FullRange=1
# END PLOT

# BEGIN HISTO1D /REF/CMS_2013_I1208923/d02-x01-y02
IsRef=1
LineColor=green
Path=/REF/CMS_2013_I1208923/d02-x01-y02
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
2.700000e+02	3.860000e+02	1.820000e+02	1.050190e+01	1.264951e+01
3.860000e+02	5.260000e+02	2.980000e+01	1.662348e+00	1.942009e+00
5.260000e+02	6.930000e+02	5.630000e+00	3.067915e-01	3.541539e-01
6.930000e+02	8.900000e+02	1.270000e+00	6.296825e-02	7.382412e-02
8.900000e+02	1.118000e+03	2.980000e-01	1.519079e-02	1.776288e-02
1.118000e+03	1.383000e+03	7.520000e-02	4.157078e-03	4.848505e-03
1.383000e+03	1.687000e+03	1.830000e-02	1.077868e-03	1.266689e-03
1.687000e+03	2.037000e+03	4.230000e-03	2.839859e-04	3.360432e-04
2.037000e+03	2.438000e+03	9.630000e-04	7.739180e-05	9.110022e-05
2.438000e+03	2.895000e+03	1.770000e-04	1.899921e-05	2.201182e-05
2.895000e+03	3.416000e+03	2.200000e-05	4.271627e-06	4.644491e-06
3.416000e+03	4.010000e+03	3.570000e-06	1.371300e-06	1.432428e-06
# END HISTO1D


# BEGIN HISTO1D /REF/CMS_2013_I1208923/d02-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/CMS_2013_I1208923/d02-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
2.700000e+02	3.860000e+02	1.820000e+02	1.050190e+01	1.264951e+01
3.860000e+02	5.260000e+02	2.980000e+01	1.662348e+00	1.942009e+00
5.260000e+02	6.930000e+02	5.630000e+00	3.067915e-01	3.541539e-01
6.930000e+02	8.900000e+02	1.270000e+00	6.296825e-02	7.382412e-02
8.900000e+02	1.118000e+03	2.980000e-01	1.519079e-02	1.776288e-02
1.118000e+03	1.383000e+03	7.520000e-02	4.157078e-03	4.848505e-03
1.383000e+03	1.687000e+03	1.830000e-02	1.077868e-03	1.266689e-03
1.687000e+03	2.037000e+03	4.230000e-03	2.839859e-04	3.360432e-04
2.037000e+03	2.438000e+03	9.630000e-04	7.739180e-05	9.110022e-05
2.438000e+03	2.895000e+03	1.770000e-04	1.899921e-05	2.201182e-05
2.895000e+03	3.416000e+03	2.200000e-05	4.271627e-06	4.644491e-06
3.416000e+03	4.010000e+03	3.570000e-06	1.371300e-06	1.432428e-06
# END HISTO1D


# BEGIN HISTO1D /ctest/mY_1100_mX_600/mY_1100_mX_600.yoda/CMS_2013_I1208923/d02-x01-y02
LineColor=red
Path=/ctest/mY_1100_mX_600/mY_1100_mX_600.yoda/CMS_2013_I1208923/d02-x01-y02
Title=[5]  0.47
# xlow	 xhigh	 val	 errminus	 errplus
2.700000e+02	3.860000e+02	1.820012e+02	1.050201e+01	1.264962e+01
3.860000e+02	5.260000e+02	2.980161e+01	1.662468e+00	1.942129e+00
5.260000e+02	6.930000e+02	5.632333e+00	3.069238e-01	3.542862e-01
6.930000e+02	8.900000e+02	1.274546e+00	6.313826e-02	7.399413e-02
8.900000e+02	1.118000e+03	3.092396e-01	1.543927e-02	1.801136e-02
1.118000e+03	1.383000e+03	7.765302e-02	4.264754e-03	4.956181e-03
1.383000e+03	1.687000e+03	1.839476e-02	1.097627e-03	1.286448e-03
1.687000e+03	2.037000e+03	4.237157e-03	2.890468e-04	3.411041e-04
2.037000e+03	2.438000e+03	9.630000e-04	7.739180e-05	9.110022e-05
2.438000e+03	2.895000e+03	1.770000e-04	1.899921e-05	2.201182e-05
2.895000e+03	3.416000e+03	2.200000e-05	4.271627e-06	4.644491e-06
3.416000e+03	4.010000e+03	3.570000e-06	1.371300e-06	1.432428e-06
# END HISTO1D

