# BEGIN PLOT
DrawOnly=/REF/ATLAS_2014_I1325553/d02-x01-y06 /ctest/mY_1100_mX_1100/mY_1100_mX_1100.yoda/ATLAS_2014_I1325553/d02-x01-y06 /THY/ATLAS_2014_I1325553/d02-x01-y06
Title=$2.5 < |y| < 3.0$, $R = 0.6$
RatioPlotReference=/REF/ATLAS_2014_I1325553/d02-x01-y06
RatioPlot=1
LogX=1
LogY=1
XLabel=$p_\text{T}$ [GeV]
MainPlot=1
YLabel=$\text{d}^2\sigma / \text{d}p_\text{T}\text{d}y$ [pb/GeV]
Legend=1
RatioPlotYMin=1
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2014_I1325553/d02-x01-y06
IsRef=1
LineColor=green
Path=/REF/ATLAS_2014_I1325553/d02-x01-y06
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+02	1.160000e+02	1.360000e+03	3.066129e+02	3.529586e+02
1.160000e+02	1.340000e+02	5.200000e+02	1.136007e+02	1.263493e+02
1.340000e+02	1.520000e+02	2.040000e+02	4.571193e+01	5.039626e+01
1.520000e+02	1.720000e+02	8.200000e+01	1.894732e+01	2.071584e+01
1.720000e+02	1.940000e+02	3.100000e+01	7.656059e+00	8.359890e+00
1.940000e+02	2.160000e+02	1.140000e+01	2.928802e+00	3.324190e+00
2.160000e+02	2.400000e+02	4.300000e+00	1.166006e+00	1.400183e+00
2.400000e+02	2.640000e+02	1.500000e+00	4.451792e-01	5.394122e-01
2.640000e+02	2.900000e+02	4.860000e-01	1.555496e-01	1.860257e-01
2.900000e+02	3.180000e+02	1.770000e-01	5.897687e-02	7.364455e-02
3.180000e+02	3.760000e+02	2.890000e-02	1.073264e-02	1.376438e-02
3.760000e+02	4.780000e+02	8.920000e-04	4.558844e-04	5.774789e-04
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2014_I1325553/d02-x01-y06
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2014_I1325553/d02-x01-y06
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+02	1.160000e+02	1.360000e+03	3.066129e+02	3.529586e+02
1.160000e+02	1.340000e+02	5.200000e+02	1.136007e+02	1.263493e+02
1.340000e+02	1.520000e+02	2.040000e+02	4.571193e+01	5.039626e+01
1.520000e+02	1.720000e+02	8.200000e+01	1.894732e+01	2.071584e+01
1.720000e+02	1.940000e+02	3.100000e+01	7.656059e+00	8.359890e+00
1.940000e+02	2.160000e+02	1.140000e+01	2.928802e+00	3.324190e+00
2.160000e+02	2.400000e+02	4.300000e+00	1.166006e+00	1.400183e+00
2.400000e+02	2.640000e+02	1.500000e+00	4.451792e-01	5.394122e-01
2.640000e+02	2.900000e+02	4.860000e-01	1.555496e-01	1.860257e-01
2.900000e+02	3.180000e+02	1.770000e-01	5.897687e-02	7.364455e-02
3.180000e+02	3.760000e+02	2.890000e-02	1.073264e-02	1.376438e-02
3.760000e+02	4.780000e+02	8.920000e-04	4.558844e-04	5.774789e-04
# END HISTO1D


# BEGIN HISTO1D /ctest/mY_1100_mX_1100/mY_1100_mX_1100.yoda/ATLAS_2014_I1325553/d02-x01-y06
LineColor=red
Path=/ctest/mY_1100_mX_1100/mY_1100_mX_1100.yoda/ATLAS_2014_I1325553/d02-x01-y06
Title=[12]  0.02
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+02	1.160000e+02	1.360007e+03	3.066136e+02	3.529593e+02
1.160000e+02	1.340000e+02	5.200054e+02	1.136013e+02	1.263499e+02
1.340000e+02	1.520000e+02	2.040045e+02	4.571249e+01	5.039682e+01
1.520000e+02	1.720000e+02	8.200316e+01	1.894776e+01	2.071628e+01
1.720000e+02	1.940000e+02	3.100287e+01	7.656461e+00	8.360292e+00
1.940000e+02	2.160000e+02	1.140186e+01	2.929125e+00	3.324513e+00
2.160000e+02	2.400000e+02	4.301650e+00	1.166298e+00	1.400475e+00
2.400000e+02	2.640000e+02	1.500928e+00	4.453980e-01	5.396310e-01
2.640000e+02	2.900000e+02	4.864760e-01	1.557001e-01	1.861762e-01
2.900000e+02	3.180000e+02	1.771326e-01	5.905343e-02	7.372111e-02
3.180000e+02	3.760000e+02	2.894268e-02	1.076282e-02	1.379456e-02
3.760000e+02	4.780000e+02	9.041339e-04	4.680183e-04	5.896128e-04
# END HISTO1D

